@relation trainingSet

@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 128 numeric
@attribute 129 {0,1,2,3}
@attribute 130 {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29}
@attribute 131 {0,1}
@attribute 132 {0,1}
@attribute 133 numeric
@attribute 134 numeric
@attribute 135 numeric
@attribute 136 numeric
@attribute 137 numeric
@attribute 138 numeric
@attribute 139 numeric
@attribute 140 numeric
@attribute 141 numeric
@attribute 142 numeric
@attribute 143 numeric
@attribute 144 numeric
@attribute 145 numeric
@attribute 146 numeric
@attribute 147 numeric
@attribute 148 numeric
@attribute 149 numeric
@attribute 150 numeric
@attribute 151 numeric
@attribute 152 numeric
@attribute 153 numeric
@attribute 154 numeric
@attribute 155 {0,1}
@attribute 156 numeric
@attribute 157 {0,1,2}
@attribute 158 {0,1}

@data
1,0,1,0,3,13,0,0,10,10,10,0,2.42,0.078,0.471876,0.331113,0,0,0,0,0,0,0,0,0,0,6912,61.831838,808.171783,2035.755225,0,-1,2,0
1,0,1,0,3,13,0,1,10,10,10,0,3.948514,-1.143084,0.008531,1.008551,0,0,0,0,0,0,0,0,0,0,6912,70.102511,1293.419586,2517.162322,0,-1,2,0
2,0,2,0,3,13,0,0,10,10,10,0,4.138856,-1.047928,0.010252,1.015968,0,0,0,0,-1,0,0,0,0,0,6912,61.831838,1310.147122,2507.648394,0,-1,2,0
1,1,0,0,2,6,0,0,0,0,0,0,81,21,33.240885,11.752573,122,0,69.105469,19.343202,0,0,0,0,0,0,496.366627,61.831838,151.576922,135.076388,0,-1,2,0
1,0,1,0,3,12,1,0,10,10,10,0,3.948514,-1.143084,0.008531,1.008551,0,0,0,0,0,0,0,0,0,0,6912,64.724404,1268.050175,2526.565882,1,10,2,0
2,0,2,0,3,12,1,0,10,10,10,0,6.435703,-0.671917,-0.001486,0.967585,0,0,0,0,144.352774,0,144.352774,144.352774,144.352774,0,6912,61.831838,1282.908553,2519.674699,1,10,2,0
2,0,2,0,3,11,0,0,10,10,10,0,2.42,0.078,0.471876,0.331113,0,0,0,0,317.677126,0,317.677126,317.677126,317.677126,0,6912,61.831838,1055.754631,2298.619757,0,-1,2,0
1,1,0,0,2,8,0,1,0,0,0,0,6.435703,-0.671917,-0.001486,0.967585,81,21,33.240885,11.752573,0,0,0,0,0,0,6912,61.831838,860.472032,2021.517185,0,-1,2,0
2,0,2,0,3,11,0,0,10,10,10,0,67.1,0,31.992578,7.879026,0,0,0,0,70.102511,0,70.102511,70.102511,70.102511,0,6912,64.724404,1293.962546,2515.656134,0,-1,2,1
1,1,0,0,2,7,1,0,0,0,0,0,99,0,20.536458,15.941829,2.42,0.078,0.471876,0.331113,0,0,0,0,0,0,317.677126,61.831838,154.835488,90.711997,1,10,2,0
