@relation trainingSet

@attribute 159 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 162 numeric
@attribute 163 numeric
@attribute 164 numeric
@attribute 165 numeric
@attribute 166 numeric
@attribute 167 numeric
@attribute 168 numeric
@attribute 169 numeric
@attribute 170 numeric
@attribute 171 numeric
@attribute 172 numeric

@data
0.140704,-1,112.19652,19.16616,68.478805,36.200627,0,0,0,0,0,0,0,0
0.144564,-1,112.08176,15.819141,61.825231,37.934268,0,0,0,0,0,0,0,0
0.136596,-1,116.133312,19.414172,74.175658,34.360379,0,0,0,0,0,0,0,0
0.129028,-1,114.158364,5.353862,68.007747,43.346382,0,0,0,0,260.843814,70.6121,156.69102,76.345807
0.141322,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.135857,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.141958,-1,26.693582,3.722244,14.384957,8.480606,0,0,0,0,0,0,0,0
0.138669,-1,113.854555,13.957844,59.79298,40.939982,0,0,0,0,0,0,0,0
0.135263,-1,40.125873,6.899419,23.638232,13.191008,0,0,0,0,0,0,0,0
0.143656,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.116729,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.123006,-1,112.330988,12.04816,60.164551,40.712342,0,0,0,0,469.44141,81.045984,194.229992,140.610874
0.135263,-1,109.483572,13.191975,60.2472,38.181483,0,0,0,0,0,0,0,0
0.13828,-1,114.872301,19.192416,63.719331,37.364331,0,0,0,0,0,0,0,0
0.139229,-1,110.918374,11.399139,65.58606,39.404468,0,0,0,0,1267.005481,95.620854,561.794101,566.172819
0.137079,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.134319,-1,113.473465,12.873136,68.60546,38.172639,0,0,0,0,0,0,0,0
0.137436,-1,100.459055,5.176632,56.225812,35.619134,0,0,0,0,0,0,0,0
0.141515,-1,111.162827,19.081839,67.547603,36.459266,0,0,0,0,0,0,0,0
0.138025,-1,105.915186,13.162003,55.6978,36.12201,0,0,0,0,0,0,0,0
0.131493,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.14171,-1,109.86061,19.004348,60.965591,37.558792,0,0,0,0,0,0,0,0
0.138591,-1,-1,-1,-1,-1,0,0,0,0,1438.132844,127.879584,519.929777,519.455274
0.141989,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.135019,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.125644,-1,112.005183,12.052737,60.168602,40.522097,0,0,0,0,557.076512,69.538037,201.577769,179.544966
0.130307,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.140379,-1,99.225366,17.489391,58.420553,34.101741,0,0,0,0,0,0,0,0
0.13725,-1,111.556467,11.990081,60.901128,38.744874,0,0,0,0,1902.672027,50.280228,565.854435,690.558297
0.130307,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.138836,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.121426,-1,113.182295,11.39922,63.204694,39.4098,0,0,0,0,1171.27515,114.785623,449.654377,421.598267
0.130722,-1,124.020637,12.991381,63.409153,40.785807,0,0,0,0,0,0,0,0
0.137642,-1,60.309927,0.565128,31.438851,21.713931,0,0,0,0,0,0,0,0
0.133989,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.132937,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0.137681,-1,114.316896,12.382578,65.69039,40.518761,0,0,0,0,0,0,0,0
0.1333,-1,105.299691,4.594005,62.568859,38.941014,0,0,0,0,1067.694711,67.872345,355.451808,363.510954
